address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
7/131 Fairway,Crawley,WA,6009,7/131 Fairway Crawley WA 6009,"$860,000",2021-04-01,House,3,2,2,159,130,2000-01-01,$670pw,2021-02-01,Michelle Kerr,-31.9854781,115.8154361
1/16 The Avenue,Crawley,WA,6009,1/16 The Avenue Crawley WA 6009,"$4,000,000",2021-03-01,Apartment,3,3,4,310,297,1987-01-01,0,1900-01-01,Peter Robertson,-31.9882144,115.8171153
5/20 Park Road,Crawley,WA,6009,5/20 Park Road Crawley WA 6009,"$639,000",2021-03-01,Townhouse,2,1,1,86,90,2004-01-01,$500pw,2010-11-01,Belinda Airey,-31.9747065,115.8140265
7/28 The Avenue,Crawley,WA,6009,7/28 The Avenue Crawley WA 6009,"$422,000",2021-02-01,Apartment,2,1,1,65,59,1964-01-01,$315pw,2019-05-01,not recorded,-31.9885707,115.8157828
27/70-72 Broadway,Crawley,WA,6009,27/70-72 Broadway Crawley WA 6009,"$320,000",2021-02-01,Apartment,1,1,1,47,45,1964-01-01,0,1900-01-01,Minrong Lan,-31.9821596,115.8148497
3/64 Broadway,Crawley,WA,6009,3/64 Broadway Crawley WA 6009,"$485,000",2021-01-01,Apartment,3,1,2,131,100,1990-01-01,$500pw,2021-01-01,David Azzopardi,-31.9815604,115.8147891
12/9 Everett Street,Crawley,WA,6009,12/9 Everett Street Crawley WA 6009,"$395,000",2021-01-01,Apartment,2,1,1,109,90,1969-01-01,$215pw,2004-08-01,not recorded,-31.985855,115.8158922
2/15 COOK STREET,Crawley,WA,6009,2/15 COOK STREET Crawley WA 6009,"$635,000",2021-01-01,House,3,1,1,119,116,1981-01-01,$750pw,2012-03-01,Peter Zambotti,-31.9837438,115.8161756
4/22 Caporn Street,Crawley,WA,6009,4/22 Caporn Street Crawley WA 6009,"$360,000",2020-12-01,Apartment,1,1,1,50,50,1958-01-01,$345pw,2016-12-01,not recorded,-31.9842231,115.8166378
6/82 Broadway,Crawley,WA,6009,6/82 Broadway Crawley WA 6009,"$249,000",2020-12-01,Apartment,1,1,1,46,43,1967-01-01,0,1900-01-01,not recorded,-31.9833427,115.814874
9.1/4 Crawley Avenue,Crawley,WA,6009,9.1/4 Crawley Avenue Crawley WA 6009,"$755,000",2020-10-01,Apartment,3,2,2,202,,1970-01-01,$595pw,2016-12-01,Peter & Ali - Turner & Moore Team,-31.9734066,115.8240093
118 Broadway,Crawley,WA,6009,118 Broadway Crawley WA 6009,"$1,825,000",2020-10-01,Apartment,,8,8,880,77,1939-01-01,$210pw,2016-09-01,David Azzopardi,-31.9852103,115.8148584
7/8 Wingfield Avenue,Crawley,WA,6009,7/8 Wingfield Avenue Crawley WA 6009,"$650,000",2020-10-01,Apartment,3,2,2,123,121,1979-01-01,$650pw,2021-01-01,not recorded,-31.9725016,115.8249336
1/16 Caporn Street,Crawley,WA,6009,1/16 Caporn Street Crawley WA 6009,"$475,000",2020-10-01,Apartment,,1,1,73,73,1969-01-01,$500pw,2015-07-01,not recorded,-31.9840682,115.8159214
10/159 Fairway,Crawley,WA,6009,10/159 Fairway Crawley WA 6009,"$270,000",2020-09-01,Apartment,1,1,1,41,35,1964-01-01,$250pw,2020-09-01,not recorded,-31.9874827,115.8156441
35/17 The Avenue,Crawley,WA,6009,35/17 The Avenue Crawley WA 6009,"$270,000",2020-08-01,Apartment,1,1,1,41,41,1963-01-01,$370pw,2021-04-01,not recorded,-31.9878111,115.8158643
8/20 Park Road,Crawley,WA,6009,8/20 Park Road Crawley WA 6009,"$410,000",2020-06-01,Apartment,1,1,1,76,65,2004-01-01,$420pw,2015-03-01,not recorded,-31.9747065,115.8140265
8E Park Road,Crawley,WA,6009,8E Park Road Crawley WA 6009,"$525,000",2020-06-01,House,1,1,1,116,81,1999-01-01,$500pw,2019-01-01,not recorded,-31.97478,115.81486
6/114 Broadway,Crawley,WA,6009,6/114 Broadway Crawley WA 6009,"$270,000",2020-04-01,Apartment,2,1,0,76,76,1963-01-01,$460pw,2015-01-01,not recorded,-31.9847962,115.8148584
1/31 Caporn Street,Crawley,WA,6009,1/31 Caporn Street Crawley WA 6009,"$530,000",2020-04-01,Townhouse,3,1,1,95,102,1981-01-01,0,1900-01-01,not recorded,-31.98472,115.81743
5/82 Broadway,Crawley,WA,6009,5/82 Broadway Crawley WA 6009,"$239,000",2020-04-01,Unit,1,1,1,46,43,1967-01-01,$240pw,2016-09-01,not recorded,-31.9833427,115.814874
1/139 Fairway,Crawley,WA,6009,1/139 Fairway Crawley WA 6009,"$540,000",2020-02-01,Townhouse,2,1,2,95,100,1978-01-01,0,1900-01-01,not recorded,-31.9859381,115.8153206
10/25 The Avenue,Crawley,WA,6009,10/25 The Avenue Crawley WA 6009,"$350,000",2020-02-01,Unit,2,1,1,74,72,1965-01-01,$430pw,2021-02-01,not recorded,-31.9879772,115.8152744
1/4 Kings Park Avenue,Crawley,WA,6009,1/4 Kings Park Avenue Crawley WA 6009,"$1,260,000",2020-01-01,Unit,3,2,2,215,212,1982-01-01,0,1900-01-01,not recorded,-31.9724813,115.8265512
2/44 Broadway,Crawley,WA,6009,2/44 Broadway Crawley WA 6009,"$525,000",2019-12-01,Apartment,2,1,2,104,77,1980-01-01,$530pw,2018-10-01,not recorded,-31.9795783,115.8148584
2W/14-18 Kings Park Avenue,Crawley,WA,6009,2W/14-18 Kings Park Avenue Crawley WA 6009,"$825,000",2019-11-01,Apartment,3,2,2,190,190,1972-01-01,$850pw,2017-09-01,not recorded,-31.9716011,115.8263162
8e/14 Kings Park Avenue,Crawley,WA,6009,8e/14 Kings Park Avenue Crawley WA 6009,"$1,250,000",2019-11-01,Apartment,3,2,2,190,190,1972-01-01,0,1900-01-01,not recorded,-31.9716011,115.8263162
17e/14 Kings Park Avenue,Crawley,WA,6009,17e/14 Kings Park Avenue Crawley WA 6009,"$1,290,000",2019-10-01,Apartment,3,2,2,190,190,1972-01-01,0,1900-01-01,not recorded,-31.9716011,115.8263162
3/4 Kings Park Avenue,Crawley,WA,6009,3/4 Kings Park Avenue Crawley WA 6009,"$1,040,000",2019-09-01,Apartment,3,2,2,215,212,1982-01-01,$1190pw,2021-02-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9724813,115.8265512
1E/21 Park Avenue,Crawley,WA,6009,1E/21 Park Avenue Crawley WA 6009,"$865,000",2019-09-01,Apartment,3,2,2,443,,1982-01-01,0,1900-01-01,not recorded,-31.9727717,115.8235009
3/10 Kings Park Avenue,Crawley,WA,6009,3/10 Kings Park Avenue Crawley WA 6009,"$1,550,000",2019-08-01,Apartment,3,2,2,287,187,1999-01-01,0,1900-01-01,not recorded,-31.9720917,115.8263432
7E/21 Park Avenue,Crawley,WA,6009,7E/21 Park Avenue Crawley WA 6009,"$1,225,000",2019-07-01,Apartment,3,2,2,224,224,1982-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9727717,115.8235009
14/8 MOUNTS BAY ROAD,Crawley,WA,6009,14/8 MOUNTS BAY ROAD Crawley WA 6009,"$2,750,000",2019-06-01,Apartment,3,2,4,609,609,2006-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9728146,115.8260659
3/4 Crawley Avenue,Crawley,WA,6009,3/4 Crawley Avenue Crawley WA 6009,"$365,000",2019-06-01,Apartment,1,1,1,77,74,1970-01-01,$380pw,2018-05-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9734066,115.8240093
95 Fairway,Crawley,WA,6009,95 Fairway Crawley WA 6009,"$525,000",2019-06-01,House,2,1,2,154,97,1982-01-01,$399pw,2019-09-01,Shellabears - Cottesloe,-31.9833583,115.8153139
7/9 Everett Street,Crawley,WA,6009,7/9 Everett Street Crawley WA 6009,"$345,000",2019-04-01,Unit,2,1,1,109,90,1969-01-01,$370pw,2019-03-01,not recorded,-31.985855,115.8158922
3W/21 Park Avenue,Crawley,WA,6009,3W/21 Park Avenue Crawley WA 6009,"$1,200,000",2019-03-01,Apartment,3,2,2,234,,1982-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9727717,115.8235009
3/7 The Avenue,Crawley,WA,6009,3/7 The Avenue Crawley WA 6009,"$800,000",2019-01-01,Townhouse,3,2,2,1012,164,1979-01-01,$750pw,2021-02-01,Collective Property Group WA - COTTESLOE,-31.986956,115.8169147
4/152 Broadway,Crawley,WA,6009,4/152 Broadway Crawley WA 6009,"$390,000",2018-11-01,Apartment,1,1,1,101,70,1958-01-01,$350pw,2021-02-01,Shellabears - Cottesloe,-31.9874163,115.8149971
3/30 Cook Street,Crawley,WA,6009,3/30 Cook Street Crawley WA 6009,"$675,000",2018-11-01,Townhouse,2,1,2,144,102,1965-01-01,0,1900-01-01,William Porteous Properties International Pty Lt,-31.9831714,115.8172848
41/1 Wingfield Avenue,Crawley,WA,6009,41/1 Wingfield Avenue Crawley WA 6009,"$895,000",2018-11-01,Apartment,4,2,2,221,221,1968-01-01,$820pw,2020-11-01,The Property Exchange - Subiaco,-31.9734071,115.8248643
3/159 Fairway,Crawley,WA,6009,3/159 Fairway Crawley WA 6009,"$265,000",2018-11-01,Apartment,1,1,,53,41,1964-01-01,$250pw,2016-12-01,Shellabears - Cottesloe,-31.9874827,115.8156441
46/3 Park Avenue,Crawley,WA,6009,46/3 Park Avenue Crawley WA 6009,"$1,470,000",2018-10-01,House,3,2,2,175,175,1983-01-01,0,1900-01-01,TM Residential - Dalkeith,-31.9716501,115.8253265
1A Park Avenue,Crawley,WA,6009,1A Park Avenue Crawley WA 6009,"$2,215,000",2018-09-01,House,4,3,3,210,197,2012-01-01,$2200pw,2015-11-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.971214,115.8260843
11/159 Fairway,Crawley,WA,6009,11/159 Fairway Crawley WA 6009,"$215,000",2018-08-01,Unit,1,1,1,35,35,1964-01-01,$250pw,2018-06-01,Bexleys Real Estate - Wembley,-31.9874827,115.8156441
10/22 The Avenue,Crawley,WA,6009,10/22 The Avenue Crawley WA 6009,"$1,050,000",2018-07-01,Unit,2,2,2,142,142,1981-01-01,$750pw,2020-07-01,Bellcourt Property Group - Dalkeith | Shenton Park,-31.98849,115.81646
1/48 Broadway,Crawley,WA,6009,1/48 Broadway Crawley WA 6009,"$515,000",2018-07-01,Apartment,3,2,2,107,95,1982-01-01,$485pw,2015-03-01,Renouf Real Estate - Swanbourne,-31.9873982,115.8146367
9/149 Fairway,Crawley,WA,6009,9/149 Fairway Crawley WA 6009,"$362,100",2018-07-01,Unit,2,1,1,69,74,1974-01-01,$390pw,2020-12-01,Mack Hall Real Estate - Claremont,-31.9867763,115.8152744
4/4 Crawley Avenue,Crawley,WA,6009,4/4 Crawley Avenue Crawley WA 6009,"$482,000",2018-06-01,Apartment,3,1,1,87,91,1970-01-01,$400pw,2020-05-01,Airey Real Estate - CLAREMONT,-31.9734066,115.8240093
23A Everett Street,Crawley,WA,6009,23A Everett Street Crawley WA 6009,"$950,000",2018-03-01,Townhouse,3,3,2,156,145,2004-01-01,0,1900-01-01,Knight Frank - Perth,-31.9856021,115.816766
6/44 Broadway,Crawley,WA,6009,6/44 Broadway Crawley WA 6009,"$545,000",2018-03-01,Apartment,2,1,1,123,77,1980-01-01,0,1900-01-01,Gordon Davies Real Estate - DALKEITH,-31.9795783,115.8148584
40 Everett Street,Crawley,WA,6009,40 Everett Street Crawley WA 6009,"$815,000",2018-03-01,House,3,1,,257,117,1969-01-01,$300pw,2015-09-01,not recorded,-31.9852139,115.8178302
41/3 Park Avenue,Crawley,WA,6009,41/3 Park Avenue Crawley WA 6009,"$1,220,000",2018-02-01,Apartment,3,2,2,175,175,1983-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9716501,115.8253265
123 Fairway,Crawley,WA,6009,123 Fairway Crawley WA 6009,"$818,000",2018-02-01,House,4,1,,160,150,1956-01-01,0,1900-01-01,not recorded,-31.9851509,115.8154634
4/124 Broadway,Crawley,WA,6009,4/124 Broadway Crawley WA 6009,"$350,000",2018-02-01,Unit,2,1,1,68,65,1958-01-01,$375pw,2019-11-01,Collective Property Group WA - COTTESLOE,-31.9859143,115.8148584
8/19 Princess Road,Crawley,WA,6009,8/19 Princess Road Crawley WA 6009,"$295,000",2018-01-01,Unit,1,1,1,50,65,1966-01-01,$325pw,2014-08-01,Shellabears - Cottesloe,-31.9861638,115.8165684
2/19 Princess Road,Crawley,WA,6009,2/19 Princess Road Crawley WA 6009,"$300,000",2018-01-01,Unit,1,1,1,50,50,1966-01-01,$270pw,2017-10-01,Shellabears - Cottesloe,-31.9861638,115.8165684
5/19 Princess Road,Crawley,WA,6009,5/19 Princess Road Crawley WA 6009,"$307,500",2018-01-01,Unit,1,1,1,50,50,1966-01-01,$375pw,2018-03-01,not recorded,-31.9861638,115.8165684
17/3 Park Avenue,Crawley,WA,6009,17/3 Park Avenue Crawley WA 6009,"$1,640,000",2018-01-01,Unit,3,1,2,175,175,1983-01-01,0,1900-01-01,not recorded,-31.9716501,115.8253265
5/10 Kings Park Avenue,Crawley,WA,6009,5/10 Kings Park Avenue Crawley WA 6009,"$1,700,000",2017-12-01,Unit,3,3,2,274,187,1999-01-01,0,1900-01-01,not recorded,-31.9720917,115.8263432
1/151 Fairway,Crawley,WA,6009,1/151 Fairway Crawley WA 6009,"$490,000",2017-12-01,Unit,2,1,1,83,80,1964-01-01,$525pw,2015-09-01,Shellabears - Cottesloe,-31.9869219,115.8153668
2/224 Hampden Road,Crawley,WA,6009,2/224 Hampden Road Crawley WA 6009,"$660,000",2017-12-13,Townhouse,2,2,1,69,82,2004-01-01,$525pw,2020-02-01,Realmark Central,-31.9750768,115.8136568
6/60 Broadway,Crawley,WA,6009,6/60 Broadway Crawley WA 6009,"$500,000",2017-11-01,Apartment,2,1,1,114,97,1938-01-01,$450pw,2021-06-01,Rossen Real Estate - Nedlands,-31.9813176,115.8148584
82/4 Crawley Avenue,Crawley,WA,6009,82/4 Crawley Avenue Crawley WA 6009,"$840,000",2017-11-01,Unit,2,2,2,158,162,1970-01-01,$620pw,2009-06-01,LJ Hooker - Dalkeith | Claremont,-31.9734066,115.8240093
16C Princess Road,Crawley,WA,6009,16C Princess Road Crawley WA 6009,"$607,000",2017-11-01,Townhouse,2,2,1,172,95,1938-01-01,$600pw,2019-06-01,Acton - Dalkeith,-31.98662,115.81676
25 70-72 Broadway,Crawley,WA,6009,25 70-72 Broadway Crawley WA 6009,"$337,500",2017-11-01,Unit,1,1,1,44,46,1964-01-01,0,1900-01-01,Residential West,-31.9821596,115.8148497
6/10 The Avenue,Crawley,WA,6009,6/10 The Avenue Crawley WA 6009,"$850,000",2017-11-01,Unit,2,2,2,105,105,1979-01-01,0,1900-01-01,Collective Property Group WA - COTTESLOE,-31.9874558,115.8174619
1/26 The Avenue,Crawley,WA,6009,1/26 The Avenue Crawley WA 6009,"$849,000",2017-10-01,House,3,2,2,110,110,1985-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9884991,115.8159214
32/212 Hampden Road,Crawley,WA,6009,32/212 Hampden Road Crawley WA 6009,"$252,000",2017-10-01,Apartment,1,1,1,39,39,1968-01-01,$260pw,2019-12-01,Kempton Azzopardi - Nedlands,-31.9749067,115.8137723
1/17-23 The Avenue,Crawley,WA,6009,1/17-23 The Avenue Crawley WA 6009,"$310,000",2017-10-01,Apartment,1,1,1,41,45,1963-01-01,$350pw,2021-03-01,Acton - Dalkeith,-31.9878111,115.8158643
8/8 Mounts Bay Road,Crawley,WA,6009,8/8 Mounts Bay Road Crawley WA 6009,"$2,050,000",2017-09-01,House,3,3,2,284,181,2006-01-01,0,1900-01-01,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9728146,115.8260659
4/133 Fairway,Crawley,WA,6009,4/133 Fairway Crawley WA 6009,"$530,000",2017-08-01,Townhouse,2,1,1,104,97,1980-01-01,$400pw,2021-01-01,LJ Hooker - Dalkeith | Claremont,-31.9856896,115.8153206
7/10 The Avenue,Crawley,WA,6009,7/10 The Avenue Crawley WA 6009,"$1,125,000",2017-08-01,Apartment,3,2,2,152,152,1979-01-01,0,1900-01-01,Acton - Dalkeith,-31.9874558,115.8174619
22/70 Broadway,Crawley,WA,6009,22/70 Broadway Crawley WA 6009,"$253,000",2017-07-01,Apartment,1,1,1,48,48,1964-01-01,$285pw,2019-01-01,Kempton Azzopardi - Nedlands,-31.9821596,115.8148497
7/10 Kings Park Avenue,Crawley,WA,6009,7/10 Kings Park Avenue Crawley WA 6009,"$1,720,000",2017-06-01,Apartment,3,3,3,289,187,1999-01-01,$1350pw,2016-06-01,Vivians Residential Real Estate - MOSMAN PARK,-31.9720917,115.8263432
12/18 The Avenue,Crawley,WA,6009,12/18 The Avenue Crawley WA 6009,"$505,000",2017-06-01,Apartment,2,1,1,76,84,1968-01-01,$350pw,2018-06-01,Bellcourt Property Group - SHENTON PARK,-31.9881326,115.8168458
9/74 Broadway,Crawley,WA,6009,9/74 Broadway Crawley WA 6009,"$500,000",2017-05-01,Apartment,3,1,1,91,91,1966-01-01,$600pw,2020-02-01,Acton - Dalkeith,-31.9826014,115.8148584
5/18 The Avenue,Crawley,WA,6009,5/18 The Avenue Crawley WA 6009,"$480,000",2017-05-01,Apartment,2,1,1,70,78,1968-01-01,$420pw,2021-07-01,MAS Real Estate - Nedlands,-31.9881326,115.8168458
6/18 The Avenue,Crawley,WA,6009,6/18 The Avenue Crawley WA 6009,"$540,000",2017-05-01,Apartment,2,1,1,76,76,1968-01-01,$390pw,2021-07-01,MAS Real Estate - Nedlands,-31.9881326,115.8168458
4/15 Cook Street,Crawley,WA,6009,4/15 Cook Street Crawley WA 6009,"$565,000",2017-05-01,Townhouse,3,1,1,102,107,1981-01-01,0,1900-01-01,LJ Hooker Claremont,-31.9837438,115.8161756
13/48 Broadway,Crawley,WA,6009,13/48 Broadway Crawley WA 6009,"$400,000",2017-05-01,Townhouse,2,1,1,66,69,1982-01-01,$380pw,2020-08-01,Realmark Western Suburbs - NEDLANDS,-31.97997,115.81486
35/212 Hampden Road,Crawley,WA,6009,35/212 Hampden Road Crawley WA 6009,"$285,000",2017-04-01,Unit,1,1,1,39,39,1968-01-01,0,1900-01-01,No Agent Property,-31.9749067,115.8137723
3/166 Broadway,Crawley,WA,6009,3/166 Broadway Crawley WA 6009,"$2,100,000",2017-04-01,Apartment,4,3,3,368,300,1990-01-01,$1200pw,2016-12-01,William Porteous Properties International Pty Ltd ,-31.9886302,115.8161756
9A Princess Road,Crawley,WA,6009,9A Princess Road Crawley WA 6009,"$955,000",2017-04-01,House,3,2,1,267,132,1974-01-01,0,1900-01-01,Acton North - CITY BEACH,-31.98613,115.81728
3/121 Fairway,Crawley,WA,6009,3/121 Fairway Crawley WA 6009,"$800,000",2017-03-01,Townhouse,3,2,1,213,115,2000-01-01,$550pw,2017-04-01,Acton - Dalkeith,-31.9849969,115.8154592
12/18 Park Road,Crawley,WA,6009,12/18 Park Road Crawley WA 6009,"$525,000",2017-03-01,Apartment,1,1,1,97,61,2016-01-01,$370pw,2019-05-01,Mint Real Estate - Claremont,-31.9749,115.81419
8C Park Road,Crawley,WA,6009,8C Park Road Crawley WA 6009,"$550,000",2017-03-01,Townhouse,1,1,1,112,81,2001-01-01,$395pw,2017-05-01,Kempton Azzopardi - Nedlands,-31.97478,115.81486
5/22 The Avenue,Crawley,WA,6009,5/22 The Avenue Crawley WA 6009,"$1,300,000",2017-03-01,Apartment,2,2,2,142,142,1981-01-01,$590pw,2015-08-01,Realmark Western Suburbs - NEDLANDS,-31.98849,115.81646
10/14 Park Road,Crawley,WA,6009,10/14 Park Road Crawley WA 6009,"$605,000",2017-03-01,Townhouse,3,1,1,99,94,1977-01-01,$440pw,2020-10-01,Abel Property - Leederville,-31.97485,115.81448
1/153 Fairway,Crawley,WA,6009,1/153 Fairway Crawley WA 6009,"$455,000",2017-03-01,Unit,2,1,1,55,57,1964-01-01,$515pw,2013-03-01,The Property Exchange - Subiaco,-31.9871904,115.8152744
4/14 Cook Street,Crawley,WA,6009,4/14 Cook Street Crawley WA 6009,"$775,000",2017-02-01,Townhouse,3,2,2,123,123,1984-01-01,$600pw,2020-01-01,Airey Real Estate,-31.98314,115.8160661
3/11 The Avenue,Crawley,WA,6009,3/11 The Avenue Crawley WA 6009,"$900,000",2017-02-01,Townhouse,3,2,2,270,149,1996-01-01,$625pw,2017-10-01,Mack Hall Real Estate - Claremont,-31.9870635,115.8164969
9/25 The Avenue,Crawley,WA,6009,9/25 The Avenue Crawley WA 6009,"$470,000",2017-02-01,Unit,2,1,1,74,70,1965-01-01,$370pw,2020-10-01,Abel McGrath Property Group - Claremont,-31.9879772,115.8152744
6/14 Kings Park Avenue,Crawley,WA,6009,6/14 Kings Park Avenue Crawley WA 6009,"$835,000",2017-02-01,Apartment,3,2,2,190,190,1972-01-01,0,1900-01-01,Acton Cottesloe - Peppermint Grove,-31.9716011,115.8263162
47/3 Park Avenue,Crawley,WA,6009,47/3 Park Avenue Crawley WA 6009,"$1,650,000",2017-02-01,Apartment,3,2,2,175,175,1983-01-01,0,1900-01-01,Mack Hall Real Estate - Claremont,-31.9716501,115.8253265
11e 16 Kings Park Avenue,Crawley,WA,6009,11e 16 Kings Park Avenue Crawley WA 6009,"$949,500",2017-02-01,Apartment,3,2,2,,,1972-01-01,$895pw,2019-12-31,Mack Hall Real Estate - Claremont,-31.9716011,115.8263162
6/166 Broadway,Crawley,WA,6009,6/166 Broadway Crawley WA 6009,"$3,500,000",2017-01-01,Unit,4,2,3,374,374,1990-01-01,$1750pw,2017-01-01,William Porteous Properties International Pty Ltd ,-31.9886302,115.8161756
1/133 Fairway,Crawley,WA,6009,1/133 Fairway Crawley WA 6009,"$490,000",2017-01-01,Unit,2,1,1,90,87,1980-01-01,0,1900-01-01,not recorded,-31.9856896,115.8153206
1/42 Broadway,Crawley,WA,6009,1/42 Broadway Crawley WA 6009,"$433,000",2016-12-01,Apartment,2,1,1,85,85,1965-01-01,$350pw,2020-11-01,Realmark Western Suburbs - NEDLANDS,-31.9872078,115.8148788
9/12 Wingfield Avenue,Crawley,WA,6009,9/12 Wingfield Avenue Crawley WA 6009,"$840,000",2016-12-01,Apartment,3,1,1,127,130,1975-01-01,$625pw,2016-11-01,Acton - Dalkeith,-31.9720194,115.8246309
4/18 Park Road,Crawley,WA,6009,4/18 Park Road Crawley WA 6009,"$707,000",2016-12-01,Apartment,2,2,1,120,92,2016-01-01,0,1900-01-01,Mint Real Estate - Claremont,-31.9749,115.81419
10/9 Everett Street,Crawley,WA,6009,10/9 Everett Street Crawley WA 6009,"$410,000",2016-11-01,Apartment,2,1,1,109,90,1969-01-01,$395pw,2020-07-01,Rossen Real Estate - Nedlands,-31.985855,115.8158922
1/15 Cook Street,Crawley,WA,6009,1/15 Cook Street Crawley WA 6009,"$625,000",2016-11-01,Unit,3,1,2,122,116,1981-01-01,$500pw,2016-10-01,Airey Real Estate,-31.9837438,115.8161756
8/149 Fairway,Crawley,WA,6009,8/149 Fairway Crawley WA 6009,"$520,000",2016-11-01,Apartment,2,1,1,74,69,1974-01-01,$400pw,2014-01-01,ACTON Dalkeith,-31.9867763,115.8152744
3/11 Wingfield Avenue,Crawley,WA,6009,3/11 Wingfield Avenue Crawley WA 6009,"$945,000",2016-10-01,House,2,1,2,145,145,1972-01-01,0,1900-01-01,Bexleys Real Estate - Wembley,-31.9726468,115.8240514
4/60 Broadway,Crawley,WA,6009,4/60 Broadway Crawley WA 6009,"$475,000",2016-09-01,Unit,2,1,1,119,87,1940-01-01,$495pw,2017-02-01,Harcourts - Integrity,-31.9813176,115.8148584
29 Parkway,Crawley,WA,6009,29 Parkway Crawley WA 6009,"$805,000",2016-09-01,House,3,1,1,301,163,1969-01-01,$550pw,2019-07-01,William Porteous Properties International Pty Ltd ,-31.9850549,115.8178291
2W/4 Crawley Avenue,Crawley,WA,6009,2W/4 Crawley Avenue Crawley WA 6009,"$695,000",2016-09-01,Apartment,3,2,2,202,,1970-01-01,0,1900-01-01,Kempton Azzopardi - Nedlands,-31.9734066,115.8240093
59/3 Park Avenue,Crawley,WA,6009,59/3 Park Avenue Crawley WA 6009,"$1,500,000",2016-08-01,Apartment,3,2,3,175,175,1983-01-01,0,1900-01-01,Vivians Residential Real Estate - MOSMAN PARK,-31.9716501,115.8253265
8/17-23 The Avenue,Crawley,WA,6009,8/17-23 The Avenue Crawley WA 6009,"$327,000",2016-08-01,Apartment,1,1,1,45,41,1963-01-01,$365pw,2021-06-01,Kempton Azzopardi - Nedlands,-31.9878111,115.8158643
4/158 Broadway,Crawley,WA,6009,4/158 Broadway Crawley WA 6009,"$322,000",2016-08-01,Unit,1,1,1,52,54,1961-01-01,$300pw,2020-01-01,Realmark - Applecross,-31.9875932,115.8151357
1/18 PARK Road,Crawley,WA,6009,1/18 PARK Road Crawley WA 6009,"$735,000",2016-07-01,Unit,2,1,1,121,92,2016-01-01,$600pw,2017-12-01,not recorded,-31.9749,115.81419
2/18 PARK Road,Crawley,WA,6009,2/18 PARK Road Crawley WA 6009,"$720,000",2016-07-01,Unit,2,2,1,123,93,2016-01-01,$650pw,2021-02-01,not recorded,-31.9749,115.81419
5/18 PARK Road,Crawley,WA,6009,5/18 PARK Road Crawley WA 6009,"$530,000",2016-07-01,Townhouse,1,1,1,98,61,2016-01-01,$460pw,2021-03-01,not recorded,-31.9749,115.81419
