address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
1/42 Broadway,Crawley,WA,6009,1/42 Broadway Crawley WA 6009,"$433,000",1/12/2016,Apartment,2,1,1,85,85,1/01/1965,$350pw,1/11/2020,Realmark Western Suburbs - NEDLANDS,-31.9872078,115.8148788
9/12 Wingfield Avenue,Crawley,WA,6009,9/12 Wingfield Avenue Crawley WA 6009,"$840,000",1/12/2016,Apartment,3,1,1,127,130,1/01/1975,$625pw,1/11/2016,Acton - Dalkeith,-31.9720194,115.8246309
4/18 Park Road,Crawley,WA,6009,4/18 Park Road Crawley WA 6009,"$707,000",1/12/2016,Apartment,2,2,1,120,92,1/01/2016,0,1/01/1900,Mint Real Estate - Claremont,-31.9749,115.81419
10/9 Everett Street,Crawley,WA,6009,10/9 Everett Street Crawley WA 6009,"$410,000",1/11/2016,Apartment,2,1,1,109,90,1/01/1969,$395pw,1/07/2020,Rossen Real Estate - Nedlands,-31.985855,115.8158922
1/15 Cook Street,Crawley,WA,6009,1/15 Cook Street Crawley WA 6009,"$625,000",1/11/2016,Unit,3,1,2,122,116,1/01/1981,$500pw,1/10/2016,Airey Real Estate,-31.9837438,115.8161756
8/149 Fairway,Crawley,WA,6009,8/149 Fairway Crawley WA 6009,"$520,000",1/11/2016,Apartment,2,1,1,74,69,1/01/1974,$400pw,1/01/2014,ACTON Dalkeith,-31.9867763,115.8152744
3/11 Wingfield Avenue,Crawley,WA,6009,3/11 Wingfield Avenue Crawley WA 6009,"$945,000",1/10/2016,House,2,1,2,145,145,1/01/1972,0,1/01/1900,Bexleys Real Estate - Wembley,-31.9726468,115.8240514
4/60 Broadway,Crawley,WA,6009,4/60 Broadway Crawley WA 6009,"$475,000",1/09/2016,Unit,2,1,1,119,87,1/01/1940,$495pw,1/02/2017,Harcourts - Integrity,-31.9813176,115.8148584
29 Parkway,Crawley,WA,6009,29 Parkway Crawley WA 6009,"$805,000",1/09/2016,House,3,1,1,301,163,1/01/1969,$550pw,1/07/2019,William Porteous Properties International Pty Ltd ,-31.9850549,115.8178291
2W/4 Crawley Avenue,Crawley,WA,6009,2W/4 Crawley Avenue Crawley WA 6009,"$695,000",1/09/2016,Apartment,3,2,2,202,,1/01/1970,0,1/01/1900,Kempton Azzopardi - Nedlands,-31.9734066,115.8240093
59/3 Park Avenue,Crawley,WA,6009,59/3 Park Avenue Crawley WA 6009,"$1,500,000",1/08/2016,Apartment,3,2,3,175,175,1/01/1983,0,1/01/1900,Vivians Residential Real Estate - MOSMAN PARK,-31.9716501,115.8253265
8/17-23 The Avenue,Crawley,WA,6009,8/17-23 The Avenue Crawley WA 6009,"$327,000",1/08/2016,Apartment,1,1,1,45,41,1/01/1963,$365pw,1/06/2021,Kempton Azzopardi - Nedlands,-31.9878111,115.8158643
4/158 Broadway,Crawley,WA,6009,4/158 Broadway Crawley WA 6009,"$322,000",1/08/2016,Unit,1,1,1,52,54,1/01/1961,$300pw,1/01/2020,Realmark - Applecross,-31.9875932,115.8151357
1/18 PARK Road,Crawley,WA,6009,1/18 PARK Road Crawley WA 6009,"$735,000",1/07/2016,Unit,2,1,1,121,92,1/01/2016,$600pw,1/12/2017,not recorded,-31.9749,115.81419
2/18 PARK Road,Crawley,WA,6009,2/18 PARK Road Crawley WA 6009,"$720,000",1/07/2016,Unit,2,2,1,123,93,1/01/2016,$650pw,1/02/2021,not recorded,-31.9749,115.81419
5/18 PARK Road,Crawley,WA,6009,5/18 PARK Road Crawley WA 6009,"$530,000",1/07/2016,Townhouse,1,1,1,98,61,1/01/2016,$460pw,1/03/2021,not recorded,-31.9749,115.81419
