address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
35 Langham Street,Nedlands,WA,6009,35 Langham Street Nedlands WA 6009,"$1,780,000",1/02/2021,House,4,2,2,908,220,1/01/1929,0,1/01/1900,Michelle Kerr,-31.9765359,115.8066547
45 Webster Street,Nedlands,WA,6009,45 Webster Street Nedlands WA 6009,"$2,928,888",1/02/2021,House,5,3,2,1012,379,1/01/1935,$1900pw,1/05/2019,James Thompson,-31.9833499,115.806077
37a Cooper Street,Nedlands,WA,6009,37a Cooper Street Nedlands WA 6009,"$865,000",1/02/2021,House,3,2,1,,102,1/01/1930,0,1/01/1900,not recorded,-31.97851,115.8113
8 Taylor Road,Nedlands,WA,6009,8 Taylor Road Nedlands WA 6009,"$1,850,000",1/01/2021,House,2,1,0,923,,1/01/1923,0,1/01/1900,not recorded,-31.9817557,115.7954926
33 Martin Avenue,Nedlands,WA,6009,33 Martin Avenue Nedlands WA 6009,"$1,650,000",1/01/2021,House,3,1,2,1012,,1/01/1925,0,1/01/1900,Michelle Kerr,-31.97903,115.7996524
45 Viewway,Nedlands,WA,6009,45 Viewway Nedlands WA 6009,"$1,900,000",1/01/2021,House,4,2,2,880,227,1/01/1937,0,1/01/1900,Michelle Kerr,-31.9855118,115.8119467
25 Elizabeth Street,Nedlands,WA,6009,25 Elizabeth Street Nedlands WA 6009,"$2,200,000",1/01/2021,House,4,2,4,809,280,1/01/1950,0,1/01/1900,Michelle Kerr,-31.9834966,115.8094047
10 Taylor Road,Nedlands,WA,6009,10 Taylor Road Nedlands WA 6009,"$1,750,000",1/01/2021,House,4,2,2,923,,1/01/1987,0,1/01/1900,not recorded,-31.981927,115.7955619
12 Taylor Road,Nedlands,WA,6009,12 Taylor Road Nedlands WA 6009,"$1,750,000",1/01/2021,House,5,2,1,923,,1/01/1977,0,1/01/1900,not recorded,-31.9820927,115.7955619
31 Napier Street,Nedlands,WA,6009,31 Napier Street Nedlands WA 6009,"$2,350,000",1/01/2021,House,4,2,2,696,317,1/01/2012,$850pw,1/10/2008,not recorded,-31.9780385,115.7932509
43 Viewway,Nedlands,WA,6009,43 Viewway Nedlands WA 6009,"$1,680,000",1/12/2020,House,4,2,2,880,170,1/01/1975,$800pw,1/01/2009,Michelle Kerr,-31.9853361,115.8119929
61 Meriwa Street,Nedlands,WA,6009,61 Meriwa Street Nedlands WA 6009,"$1,155,000",1/12/2020,House,2,1,1,456,98,1/01/1945,$550pw,1/03/2019,not recorded,-31.9753317,115.8100055
1/28 Stirling Highway,Nedlands,WA,6009,1/28 Stirling Highway Nedlands WA 6009,"$720,000",1/12/2020,House,4,2,1,109,109,1/01/1979,0,1/01/1900,Peter Clements,-31.9784269,115.8102127
81 Mountjoy Road,Nedlands,WA,6009,81 Mountjoy Road Nedlands WA 6009,"$2,750,000",1/12/2020,House,4,3,1,1013,395,1/01/2012,$500pw,1/11/2010,not recorded,-31.9875547,115.8009235
31 Waroonga Road,Nedlands,WA,6009,31 Waroonga Road Nedlands WA 6009,"$1,840,000",1/12/2020,House,3,2,4,923,147,1/01/1939,$950pw,1/12/2020,not recorded,-31.9848058,115.7926038
15 Dalkeith Road,Nedlands,WA,6009,15 Dalkeith Road Nedlands WA 6009,"$1,900,000",1/11/2020,House,4,2,2,1012,238,1/01/2011,0,1/01/1900,not recorded,-31.9771739,115.802287
46 Rockton Road,Nedlands,WA,6009,46 Rockton Road Nedlands WA 6009,"$1,628,000",1/11/2020,House,4,1,6,923,220,1/01/1967,0,1/01/1900,Ken Baker,-31.9856918,115.7919567
8/111 Stirling Highway,Nedlands,WA,6009,8/111 Stirling Highway Nedlands WA 6009,"$470,000",1/11/2020,House,3,1,1,73,73,1/01/1979,$400pw,1/04/2017,not recorded,-31.97934,115.80057
36 Webster Street,Nedlands,WA,6009,36 Webster Street Nedlands WA 6009,"$1,840,000",1/11/2020,House,4,1,1,1012,133,1/01/1933,0,1/01/1900,not recorded,-31.9823139,115.8067471
4/2a Marita Road,Nedlands,WA,6009,4/2a Marita Road Nedlands WA 6009,"$550,000",1/11/2020,Townhouse,2,1,1,83,77,1/01/1965,$625pw,1/12/2019,Paul Owen,-31.9808366,115.7967505
17 Kinninmont Avenue,Nedlands,WA,6009,17 Kinninmont Avenue Nedlands WA 6009,"$1,490,000",1/11/2020,House,3,2,1,1034,134,1/01/1937,0,1/01/1900,not recorded,-31.9747242,115.8044131
9/192 Hampden Road,Nedlands,WA,6009,9/192 Hampden Road Nedlands WA 6009,"$512,000",1/11/2020,Townhouse,3,2,2,152,108,1/01/1999,$400pw,1/08/2017,not recorded,-31.973727,115.8138647
25B Dalkeith Road,Nedlands,WA,6009,25B Dalkeith Road Nedlands WA 6009,"$1,750,000",1/11/2020,House,3,2,2,327,80,1/01/1965,0,1/01/1900,not recorded,-31.97839,115.80222
25A Dalkeith Road,Nedlands,WA,6009,25A Dalkeith Road Nedlands WA 6009,"$1,750,000",1/11/2020,House,3,2,2,393,94,1/01/1965,$500pw,1/08/2014,not recorded,-31.97839,115.80222
4/61 Stirling Highway,Nedlands,WA,6009,4/61 Stirling Highway Nedlands WA 6009,"$325,000",1/11/2020,Unit,2,1,0,98,90,1/01/1967,$400pw,1/11/2020,not recorded,-31.9780789,115.8074635
39 Marita Road,Nedlands,WA,6009,39 Marita Road Nedlands WA 6009,"$1,610,000",1/11/2020,House,3,2,2,923,137,1/01/1959,$825pw,1/11/2020,not recorded,-31.9849799,115.7960935
65 Mountjoy Road,Nedlands,WA,6009,65 Mountjoy Road Nedlands WA 6009,"$2,799,000",1/11/2020,House,5,5,2,1012,384,1/01/1937,0,1/01/1900,not recorded,-31.9859038,115.8009928
73 Smyth Road,Nedlands,WA,6009,73 Smyth Road Nedlands WA 6009,"$1,360,000",1/10/2020,House,3,2,1,1041,195,1/01/1954,$650pw,1/04/2019,Mitra Roshan,-31.9745403,115.8055454
95 Smyth Road,Nedlands,WA,6009,95 Smyth Road Nedlands WA 6009,"$1,620,000",1/10/2020,House,3,2,2,1020,188,1/01/1925,0,1/01/1900,not recorded,-31.9773924,115.8054761
8/35 Esplanade,Nedlands,WA,6009,8/35 Esplanade Nedlands WA 6009,"$1,290,000",1/10/2020,Apartment,3,2,2,211,146,1/01/2008,0,1/01/1900,not recorded,-31.9892903,115.8158059
23B Bulimba Road,Nedlands,WA,6009,23B Bulimba Road Nedlands WA 6009,"$1,058,000",1/10/2020,House,3,2,2,519,180,1/01/1958,0,1/01/1900,Murray Peter,-31.98373,115.79368
2/35 Esplanade,Nedlands,WA,6009,2/35 Esplanade Nedlands WA 6009,"$1,600,000",1/10/2020,Apartment,2,2,2,222,140,1/01/2008,$1350pw,1/02/2021,not recorded,-31.9892903,115.8158059
48 Doonan Road,Nedlands,WA,6009,48 Doonan Road Nedlands WA 6009,"$1,650,000",1/10/2020,House,3,2,3,997,242,1/01/1950,$575pw,1/07/2019,not recorded,-31.9850497,115.7979654
1/3 VIncent Street,Nedlands,WA,6009,1/3 VIncent Street Nedlands WA 6009,"$510,000",1/10/2020,Townhouse,2,1,1,69,69,1/01/1979,$385pw,1/10/2009,not recorded,-31.9805,115.79824
19/28 Stirling Highway,Nedlands,WA,6009,19/28 Stirling Highway Nedlands WA 6009,"$515,000",1/09/2020,Townhouse,2,1,1,102,90,1/01/1979,$400pw,1/07/2016,not recorded,-31.9782863,115.8104797
29 Portland Street,Nedlands,WA,6009,29 Portland Street Nedlands WA 6009,"$1,635,000",1/09/2020,House,3,1,2,907,181,1/01/1936,$750pw,1/02/2019,not recorded,-31.9758036,115.8078333
81 Vincent Street,Nedlands,WA,6009,81 Vincent Street Nedlands WA 6009,"$1,730,000",1/08/2020,House,4,2,2,1165,195,1/01/1939,0,1/01/1900,not recorded,-31.9881595,115.79852
2/26 Broome Street,Nedlands,WA,6009,2/26 Broome Street Nedlands WA 6009,"$430,000",1/08/2020,Townhouse,2,1,1,82,64,1/01/1976,0,1/01/1900,not recorded,-31.97934,115.79901
2/63 Stirling Highway,Nedlands,WA,6009,2/63 Stirling Highway Nedlands WA 6009,"$430,000",1/08/2020,Townhouse,2,1,0,88,70,1/01/1949,$350pw,1/09/2018,not recorded,-31.9820616,115.7851975
40 Boronia Avenue,Nedlands,WA,6009,40 Boronia Avenue Nedlands WA 6009,"$1,820,000",1/08/2020,House,5,3,6,1013,248,1/01/1938,$1200pw,1/10/2020,not recorded,-31.9774495,115.803974
20 Webster Street,Nedlands,WA,6009,20 Webster Street Nedlands WA 6009,"$1,900,000",1/08/2020,House,3,1,2,1012,,1/01/1933,0,1/01/1900,not recorded,-31.9806416,115.806724
22/35 Esplanade,Nedlands,WA,6009,22/35 Esplanade Nedlands WA 6009,"$2,400,000",1/07/2020,Apartment,3,4,2,240,179,1/01/2008,0,1/01/1900,not recorded,-31.9892903,115.8158059
70 Viewway,Nedlands,WA,6009,70 Viewway Nedlands WA 6009,"$1,635,000",1/07/2020,House,3,2,2,911,,1/01/1971,$960pw,1/09/2020,not recorded,-31.9878283,115.811577
39 Tyrell Street,Nedlands,WA,6009,39 Tyrell Street Nedlands WA 6009,"$1,900,000",1/07/2020,House,5,3,2,1012,285,1/01/1930,0,1/01/1900,not recorded,-31.9828434,115.8085034
10/26 Broome Street,Nedlands,WA,6009,10/26 Broome Street Nedlands WA 6009,"$520,000",1/07/2020,Townhouse,3,1,2,110,110,1/01/1976,$440pw,1/05/2019,not recorded,-31.97934,115.79901
51 Florence Road,Nedlands,WA,6009,51 Florence Road Nedlands WA 6009,"$1,625,000",1/07/2020,House,4,2,2,1012,215,1/01/1950,$950pw,1/07/2020,not recorded,-31.9849845,115.8036042
22 Ord Street,Nedlands,WA,6009,22 Ord Street Nedlands WA 6009,"$1,722,500",1/06/2020,House,5,3,3,696,289,1/01/2019,$1300pw,1/05/2020,not recorded,-31.9772286,115.7951691
70 Vincent Street,Nedlands,WA,6009,70 Vincent Street Nedlands WA 6009,"$2,720,000",1/06/2020,House,5,3,2,1133,436,1/01/2015,0,1/01/1900,not recorded,-31.987522,115.7991671
105/30 The Avenue,Nedlands,WA,6009,105/30 The Avenue Nedlands WA 6009,"$920,000",1/06/2020,Apartment,2,3,2,181,121,1/01/2009,$850pw,1/03/2020,Cheryl Stewart,-31.988934,115.8151588
22 Kingston Street,Nedlands,WA,6009,22 Kingston Street Nedlands WA 6009,"$2,150,000",1/06/2020,House,4,2,4,1277,355,1/01/1977,$1800pw,1/03/2020,not recorded,-31.9670778,115.8135874
16 Viewway,Nedlands,WA,6009,16 Viewway Nedlands WA 6009,"$1,500,000",1/06/2020,House,4,2,2,880,171,1/01/1972,$625pw,1/04/2020,not recorded,-31.982441,115.8125475
3/29 The Avenue,Nedlands,WA,6009,3/29 The Avenue Nedlands WA 6009,"$875,000",1/05/2020,Townhouse,2,2,2,158,131,1/01/2002,0,1/01/1900,not recorded,-31.9884106,115.814939
20 Kingsway,Nedlands,WA,6009,20 Kingsway Nedlands WA 6009,"$1,800,000",1/05/2020,House,4,1,1,880,177,1/01/1950,$850pw,1/08/2014,not recorded,-31.9822827,115.8136568
47 Bulimba Road,Nedlands,WA,6009,47 Bulimba Road Nedlands WA 6009,"$2,100,000",1/05/2020,House,4,2,6,923,246,1/01/1939,$1350pw,1/07/2015,not recorded,-31.986113,115.7937362
10/28 Stirling Highway,Nedlands,WA,6009,10/28 Stirling Highway Nedlands WA 6009,"$415,000",1/05/2020,Unit,2,1,1,101,101,1/01/1979,0,1/01/1900,not recorded,-31.9782863,115.8104797
104 Tyrell Street,Nedlands,WA,6009,104 Tyrell Street Nedlands WA 6009,"$1,700,000",1/05/2020,House,6,3,2,834,,1/01/1955,0,1/01/1900,not recorded,-31.9889103,115.809266
55 Kingsway,Nedlands,WA,6009,55 Kingsway Nedlands WA 6009,"$1,975,000",1/05/2020,House,3,2,2,875,262,1/01/1999,0,1/01/1900,not recorded,-31.9867829,115.8131484
66 Louise Street,Nedlands,WA,6009,66 Louise Street Nedlands WA 6009,"$2,100,000",1/04/2020,House,4,3,2,1012,377,1/01/2007,$2000pw,1/02/2011,not recorded,-31.9859157,115.8004613
62 Williams Road,Nedlands,WA,6009,62 Williams Road Nedlands WA 6009,"$1,205,000",1/04/2020,House,4,3,1,455,203,1/01/1937,$800pw,1/11/2017,not recorded,-31.9748836,115.8095896
24/35 Esplanade,Nedlands,WA,6009,24/35 Esplanade Nedlands WA 6009,"$3,250,000",1/04/2020,Apartment,3,3,3,265,184,1/01/2008,$1900pw,1/04/2019,not recorded,-31.9892903,115.8158059
18 Webster Street,Nedlands,WA,6009,18 Webster Street Nedlands WA 6009,"$1,970,000",1/04/2020,House,4,3,2,1012,212,1/01/1950,0,1/01/1900,not recorded,-31.980476,115.806724
52 The Avenue,Nedlands,WA,6009,52 The Avenue Nedlands WA 6009,"$2,600,000",1/04/2020,House,4,3,2,683,322,1/01/2012,$2300pw,1/12/2017,not recorded,-31.9904005,115.8138416
97 Smyth Road,Nedlands,WA,6009,97 Smyth Road Nedlands WA 6009,"$1,600,000",1/04/2020,House,4,2,1,1012,217,1/01/1932,$650pw,1/02/2021,not recorded,-31.9776052,115.8055454
6 Baird Avenue,Nedlands,WA,6009,6 Baird Avenue Nedlands WA 6009,"$2,300,000",1/03/2020,House,3,3,2,1012,257,1/01/2019,0,1/01/1900,not recorded,-31.9763205,115.8016399
2/24 Tareena Street,Nedlands,WA,6009,2/24 Tareena Street Nedlands WA 6009,"$600,000",1/03/2020,Townhouse,3,1,1,109,116,1/01/1984,$500pw,1/11/2010,not recorded,-31.97278,115.81485
67 Dalkeith Road,Nedlands,WA,6009,67 Dalkeith Road Nedlands WA 6009,"$1,615,000",1/03/2020,House,4,2,2,1012,220,1/01/1950,0,1/01/1900,not recorded,-31.9810558,115.8021483
6 Bedford Street,Nedlands,WA,6009,6 Bedford Street Nedlands WA 6009,"$1,520,000",1/03/2020,House,3,1,2,1012,,1/01/1936,$520pw,1/01/2020,Amanda Gray,-31.9779897,115.8019634
27 Edward Street,Nedlands,WA,6009,27 Edward Street Nedlands WA 6009,"$2,350,000",1/03/2020,House,5,3,3,964,409,1/01/2006,0,1/01/1900,not recorded,-31.9805586,115.8112996
22 Edward Street,Nedlands,WA,6009,22 Edward Street Nedlands WA 6009,"$1,720,000",1/02/2020,House,4,3,4,809,143,1/01/1940,0,1/01/1900,not recorded,-31.9809765,115.8118543
21 Viewway,Nedlands,WA,6009,21 Viewway Nedlands WA 6009,"$1,775,000",1/02/2020,House,5,2,2,880,365,1/01/1989,0,1/01/1900,not recorded,-31.983177,115.8119236
93 Stanley Street,Nedlands,WA,6009,93 Stanley Street Nedlands WA 6009,"$2,775,000",1/02/2020,House,3,2,6,1012,296,1/01/2010,0,1/01/1900,not recorded,-31.9882649,115.8048984
30 DOONAN ROAD,Nedlands,WA,6009,30 DOONAN ROAD Nedlands WA 6009,"$2,000,000",1/02/2020,House,4,2,2,994,287,1/01/1935,$1300pw,1/05/2019,not recorded,-31.9834131,115.797873
89 Clifton Street,Nedlands,WA,6009,89 Clifton Street Nedlands WA 6009,"$1,050,000",1/02/2020,House,3,1,1,468,124,1/01/1945,0,1/01/1900,not recorded,-31.9765929,115.8112534
82 Webster Street,Nedlands,WA,6009,82 Webster Street Nedlands WA 6009,"$2,700,000",1/02/2020,House,4,2,2,1012,356,1/01/1935,$1150pw,1/11/2008,not recorded,-31.9868493,115.8068396
12 Napier Street,Nedlands,WA,6009,12 Napier Street Nedlands WA 6009,"$1,200,000",1/02/2020,House,4,2,2,696,178,1/01/1920,0,1/01/1900,not recorded,-31.9765168,115.7940598
24 Clark Street,Nedlands,WA,6009,24 Clark Street Nedlands WA 6009,"$1,820,000",1/02/2020,House,2,1,1,911,100,1/01/1926,$400pw,1/12/2019,not recorded,-31.9798934,115.8124551
5/111 Stirling Highway,Nedlands,WA,6009,5/111 Stirling Highway Nedlands WA 6009,"$460,000",1/02/2020,Townhouse,2,1,2,72,72,1/01/1979,$350pw,1/11/2016,not recorded,-31.97934,115.80057
1/26 Broome Street,Nedlands,WA,6009,1/26 Broome Street Nedlands WA 6009,"$490,000",1/02/2020,Townhouse,2,1,4,65,65,1/01/1980,0,1/01/1900,not recorded,-31.97934,115.79901
32 Kinninmont Avenue,Nedlands,WA,6009,32 Kinninmont Avenue Nedlands WA 6009,"$2,350,000",1/01/2020,House,5,3,2,1012,291,1/01/1952,0,1/01/1900,not recorded,-31.9764631,115.8050832
82 Bruce Street,Nedlands,WA,6009,82 Bruce Street Nedlands WA 6009,"$1,325,000",1/01/2020,House,3,2,2,885,141,1/01/1970,0,1/01/1900,not recorded,-31.9893392,115.8114845
44 Bulimba Road,Nedlands,WA,6009,44 Bulimba Road Nedlands WA 6009,"$2,225,000",1/01/2020,House,5,3,2,923,289,1/01/1940,0,1/01/1900,not recorded,-31.9857754,115.7943371
27 Megalong Street,Nedlands,WA,6009,27 Megalong Street Nedlands WA 6009,"$1,050,000",1/01/2020,House,3,1,4,491,119,1/01/1916,$550pw,1/01/2020,not recorded,-31.973056,115.816476
2B Bulimba Road,Nedlands,WA,6009,2B Bulimba Road Nedlands WA 6009,"$830,000",1/01/2020,House,2,1,1,124,124,1/01/1985,0,1/01/1900,not recorded,-31.98155,115.79438
1 Betty Street,Nedlands,WA,6009,1 Betty Street Nedlands WA 6009,"$1,420,000",1/01/2020,House,3,1,1,799,138,1/01/1946,0,1/01/1900,not recorded,-31.98668,115.79624
26 Waroonga Road,Nedlands,WA,6009,26 Waroonga Road Nedlands WA 6009,"$2,300,000",1/01/2020,House,6,4,2,923,209,1/01/1905,0,1/01/1900,not recorded,-31.9841212,115.7931816
145 Dalkeith Road,Nedlands,WA,6009,145 Dalkeith Road Nedlands WA 6009,"$1,990,050",1/01/2020,House,4,3,1,1153,245,1/01/1939,0,1/01/1900,not recorded,-31.9884959,115.8023101
43 Mountjoy Road,Nedlands,WA,6009,43 Mountjoy Road Nedlands WA 6009,"$1,650,000",1/01/2020,House,4,2,2,1012,312,1/01/1960,0,1/01/1900,not recorded,-31.9839573,115.8009928
96 Smyth Road,Nedlands,WA,6009,96 Smyth Road Nedlands WA 6009,"$1,690,000",1/12/2019,House,4,3,2,908,267,1/01/1930,$1550pw,1/02/2018,not recorded,-31.9766821,115.806077
20 Cooper Street,Nedlands,WA,6009,20 Cooper Street Nedlands WA 6009,"$1,620,000",1/12/2019,House,3,1,2,911,,1/01/1926,$700pw,1/11/2020,not recorded,-31.9787263,115.8128711
58 The Avenue,Nedlands,WA,6009,58 The Avenue Nedlands WA 6009,"$4,500,000",1/12/2019,House,5,4,4,1045,489,1/01/2008,0,1/01/1900,not recorded,-31.9908749,115.8135643
92 Smyth Road,Nedlands,WA,6009,92 Smyth Road Nedlands WA 6009,"$1,700,000",1/12/2019,House,3,1,1,908,,1/01/1946,0,1/01/1900,not recorded,-31.976325,115.8061001
100 Smyth Road,Nedlands,WA,6009,100 Smyth Road Nedlands WA 6009,"$1,495,000",1/12/2019,House,4,3,2,601,234,1/01/1930,0,1/01/1900,not recorded,-31.9770448,115.8061232
46 Mountjoy Road,Nedlands,WA,6009,46 Mountjoy Road Nedlands WA 6009,"$2,020,000",1/12/2019,House,4,3,2,1012,273,1/01/1950,0,1/01/1900,not recorded,-31.9841638,115.801663
45 Napier Street,Nedlands,WA,6009,45 Napier Street Nedlands WA 6009,"$1,110,000",1/12/2019,House,4,2,2,696,188,1/01/1981,0,1/01/1900,not recorded,-31.9789924,115.7934358
5/63 Stirling Highway,Nedlands,WA,6009,5/63 Stirling Highway Nedlands WA 6009,"$450,000",1/11/2019,Unit,2,1,0,84,84,1/01/1949,$375pw,1/07/2020,not recorded,-31.97815,115.80716
6/192 Hampden Road,Nedlands,WA,6009,6/192 Hampden Road Nedlands WA 6009,"$535,000",1/11/2019,Townhouse,3,2,2,164,118,1/01/1999,$595pw,1/05/2010,not recorded,-31.973727,115.8138647
1/36 Megalong Street,Nedlands,WA,6009,1/36 Megalong Street Nedlands WA 6009,"$680,000",1/11/2019,Townhouse,3,1,2,122,122,1/01/1981,$700pw,1/06/2013,not recorded,-31.973437,115.8168578
11 Leura Street,Nedlands,WA,6009,11 Leura Street Nedlands WA 6009,"$1,070,000",1/11/2019,House,3,2,3,455,156,1/01/1982,0,1/01/1900,not recorded,-31.9722606,115.8121316
1 Elizabeth Street,Nedlands,WA,6009,1 Elizabeth Street Nedlands WA 6009,"$1,315,000",1/11/2019,House,3,3,4,331,241,1/01/2002,0,1/01/1900,not recorded,-31.9835254,115.8141937
74 The Avenue,Nedlands,WA,6009,74 The Avenue Nedlands WA 6009,"$4,950,000",1/10/2019,House,5,6,4,1563,984,1/01/2021,0,1/01/1900,not recorded,-31.9923783,115.8123627
49 Tyrell Street,Nedlands,WA,6009,49 Tyrell Street Nedlands WA 6009,"$2,450,000",1/10/2019,House,6,5,4,1012,394,1/01/1991,0,1/01/1900,not recorded,-31.98391,115.80862
96 Kingsway,Nedlands,WA,6009,96 Kingsway Nedlands WA 6009,"$2,240,000",1/10/2019,House,2,3,2,722,333,1/01/2016,0,1/01/1900,not recorded,-31.9889803,115.8119929
98 Smyth Road,Nedlands,WA,6009,98 Smyth Road Nedlands WA 6009,"$1,655,000",1/10/2019,House,4,2,4,908,165,1/01/1939,0,1/01/1900,not recorded,-31.9768477,115.806077
